"MasterKurs","Count","Start","Ende"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","1","20102","20132"
"Entscheidungspsychologie","3","20102","20131"
"FIN 500 Investments","88","20102","20222"
"FIN 520 Bankbetriebslehre","9","20102","20202"
"FIN 540 Corporate Finance I - Lecture (Capital Structure, Cost of Capital and Valuation)","6","20122","20222"
"FIN 541 Corporate Finance I - Case Study (Capital Structure, Cost of Capital and Valuation)","2","20182","20211"
"FIN 560 Risikomanagement von Versicherungsunternehmen","3","20102","20222"
"FIN 561 Investmentmanagement von Versicherungsunternehmen","4","20102","20182"
"FIN 580 Derivatives I - Basic Strategies and Pricing","26","20102","20222"
"FIN 590 Financial Institutions I","2","20172","20221"
"FIN 601 Bond Markets","19","20111","20222"
"FIN 602 Trading and Exchanges","11","20112","20222"
"FIN 620 Behavioral Finance","3","20172","20221"
"FIN 630 Corporate Governance","6","20122","20222"
"FIN 660 Quantitatives Risikomanagement","5","20182","20222"
"FIN 682 International Asset Management","7","20171","20222"
"Finanzwirtschaft","1","20102","20121"
"Fit für den öffentlichen Auftritt","1","20102","20122"
"Great Presentation Now! A practical toolkit for effectiveness and confidence","4","20102","20141"
"IE 500 Data Mining I","923","20101","20222"
"IE 550 Knowledge Management: Principles and Technologies","468","20101","20211"
"IE 560 Decision Support","284","20112","20222"
"IE 630 Query Optimization","28","20122","20222"
"IE 650 Semantic Web Technologies","119","20102","20222"
"IE 660 Artificial Intelligence","28","20102","20161"
"IE 661 Text Analytics","300","20122","20222"
"IE 663 Information Retrieval and Web Search","157","20122","20222"
"IE 664 Process Mining","14","20122","20182"
"IE 670 Web Data Integration","159","20112","20222"
"IE 671 Web Mining","201","20102","20222"
"IE 672 Data Mining II","259","20121","20222"
"IE 673 Data Mining and Matrices","38","20132","20211"
"IE 674 Hot Topics in Machine Learning","41","20142","20222"
"IE 675 Machine Learning","26","20161","20222"
"IE 675b Machine Learning","17","20201","20222"
"IE 676 Network Analysis","49","20182","20222"
"IE 678 Deep Learning","4","20202","20222"
"IE 680 Human-Computer-Interaction: Fundamentals and Research Methods","10","20112","20162"
"IE 681 Interactive Multimedia Systems","1","20122","20152"
"IE 682 Enterprise Architecture Modeling","129","20132","20201"
"IE 683 Web Data Integration Project","78","20161","20222"
"IE 684 Web Mining Project","86","20172","20222"
"IE 689 Relational Learning","7","20172","20221"
"IE 690 Information Architecture","3","20122","20161"
"IE 691 Information Retrieval Project","52","20161","20222"
"IE 692 Advanced Process Mining","43","20182","20222"
"IE 694 Artificial Intelligence Applications in Industry","4","20202","20222"
"IE 704 Seminar AI Systems Engineering","11","20181","20222"
"Improvisationstraining","2","20102","20131"
"Interdisziplinäres Kulturmanagement","1","20111","20132"
"Interkulturelle Sensibilisierung","6","20101","20132"
"International Business Negotiations and Assertiveness - Getting results in business and life","10","20101","20151"
"International Course I","5","20102","20171"
"International Course II","1","20141","20161"
"International Course III","1","20141","20161"
"IS 203 Wirtschaftsinformatik III: Development and Management of Information Systems","15","20101","20142"
"IS 204 Wirtschaftsinformatik IV","15","20112","20152"
"IS 401 Integrated Information Systems","12","20101","20132"
"IS 500 E-Business and Electronic Markets","21","20112","20171"
"IS 510 Process Management","704","20101","20222"
"IS 511 Information Resource Management","287","20102","20192"
"IS 512 IT Management in the Digital Age","221","20151","20222"
"IS 513 Applied IT Management in the Digital Age","98","20152","20222"
"IS 514 Process Mining and Analytics","29","20182","20222"
"IS 515 Process Management & Analytics","26","20192","20222"
"IS 520 Advanced Middleware","20","20101","20132"
"IS 530 Component Based Systems","61","20101","20162"
"IS 540 Management of Enterprise Systems","656","20101","20222"
"IS 541 Theories and Methods in Information Systems","90","20102","20222"
"IS 551 Foundations of Data Management","16","20112","20222"
"IS 553 System Software","282","20121","20222"
"IS 556 Public Blockchains","2","20211","20222"
"IS 600 E-Government: Methoden, Technologien und Prozesse","11","20101","20141"
"IS 601 Cloud Computing: Technologies, Applications, Services and Implications","6","20101","20132"
"IS 602 Business Intelligence and Business Analytics Systems","472","20101","20222"
"IS 603 User Productivity","14","20101","20151"
"IS 604 Contemporary Issues in Enterprise Systems: Banking Enterprise Systems","59","20101","20171"
"IS 605 IT-Driven Government Modernization: International Case Studies","21","20112","20161"
"IS 606 Strategies for Electronic Commerce","6","20111","20141"
"IS 607 Digital Innovation","10","20192","20222"
"IS 610 Information Resource Management","15","20101","20132"
"IS 611 Case Studies in Information Systems","2","20102","20152"
"IS 612 Banking und IT-Management","4","20102","20132"
"IS 613 Applied Project in Design Thinking and Lean Software Development","220","20101","20222"
"IS 613 Applied Project in Enterprise Cloud Design and Development","221","20101","20222"
"IS 614 Corporate Knowledge Management","505","20102","20222"
"IS 615 - Enterprise Cloud Design and Development","412","20102","20222"
"IS 615 Design Thinking and Lean Development in Enterprise Software Development","412","20102","20222"
"IS 620 Distributed Virtual Environments","2","20101","20122"
"IS 621 Internet Technologies","5","20101","20132"
"IS 621 Self-Organizing and Adaptive Systems","28","20191","20222"
"IS 622 Mobile Computing","1","20101","20121"
"IS 622 Network Science","6","20211","20222"
"IS 624 Mobile Computing","21","20102","20142"
"IS 625 Pervasive Computing","283","20102","20222"
"IS 626 Distributed Virtual Environments","5","20102","20141"
"IS 627 Self-organizing Systems","122","20102","20222"
"IS 629 Agile Software Product Management and Design","432","20101","20222"
"IS 630 Machine Learning","19","20112","20162"
"IS 631 Component Data Management","2","20102","20141"
"IS 632 Supply Chain Management","148","20101","20222"
"IS 633 E-Commerce","45","20102","20161"
"IS 651 Behavioral Perspectives on E-Business","18","20132","20202"
"IS 666 E-Commerce","3","20101","20132"
"IS 702 Seminar E-Business & E-Government","3","20111","20141"
"IS 712 Seminar","181","20102","20222"
"IS 722 Seminar Trends in Distributed Systems","90","20102","20222"
"IS 732 Seminar","18","20102","20171"
"IS 742 Seminar Trends in Enterprise Systems","139","20102","20222"
"IS 751 E-Government Adoption","8","20122","20182"
"IS 752 Seminar on Process and Management Analytics","7","20192","20222"
"IS/MAN 500 Information Systems in Organizations","44","20102","20192"
"IS/MKT 500 E-Business and Electronic Markets","170","20101","20162"
"Kolloquium","1","20142","20162"
"Kommunikation und Mediation im internationalen Kontext","2","20102","20141"
"Konflikte-Chance oder /Risiko","1","20101","20131"
"Körpersprache","7","20101","20132"
"Kultinational - Leben und Arbeiten im interkulturellen Kontext","1","20102","20122"
"Kunst der Debatte","1","20102","20152"
"Kunst der Rede","1","20102","20132"
"Kwerkarriere (die Karriere-Mechanik, Alternativen, wie bringt es wer zur Elite)","3","20102","20132"
"Literature, Business and Economics","5","20101","20132"
"MAN 301 Strategic and International Management","8","20102","20152"
"MAN 356 Strategy and Innovation","1","20121","20151"
"MAN 401 Organization and Human Resources Management","10","20111","20161"
"MAN 500 Advanced Management Studies","1","20102","20132"
"MAN 611 Management öffentlicher Dienstleistungen","5","20102","20141"
"MAN 613 New Public Management","2","20102","20161"
"MAN 616 Branchenspezifische Herausforderungen im Nonprofit Management","2","20112","20151"
"MAN 621 Organisationsgestaltung","1","20101","20131"
"MAN 622 Verhalten in Organisationen","1","20101","20131"
"MAN 625 Organizational Structures Within and Between Firms","3","20121","20171"
"MAN 627 Organizational Design and Technology","43","20101","20152"
"MAN 628 Organizational Theory and Design","5","20102","20151"
"MAN 629 Organization for Innovation","33","20101","20162"
"MAN 630 Introduction to Entrepreneurship","135","20101","20222"
"MAN 631 Creativity and Entrepreneurship in Practice","54","20102","20222"
"MAN 632 Advanced Entrepreneurship","51","20102","20222"
"MAN 633 Entrepreneurial Spirit","87","20111","20222"
"MAN 635 Social Entrepreneurship: Targeting Social Capital through Ecopreneurship","20","20111","20222"
"MAN 636 International Entrepreneurship and Managing Change","18","20101","20222"
"MAN 640 HR Performance Management","3","20101","20131"
"MAN 641 Human Capital Management","4","20101","20132"
"MAN 642 International Human Resource Management & Employment Relations","2","20101","20131"
"MAN 644 Human Resource Training and Development","1","20211","20222"
"MAN 645 Leadership and Motivation","254","20102","20222"
"MAN 646 HR Analytics","27","20112","20222"
"MAN 647 Strategic and International Human Resource Management","63","20112","20222"
"MAN 648 Incentives and Performance","119","20111","20222"
"MAN 649 Human Resource Recruitment and Selection","2","20192","20222"
"MAN 650 International Management I","21","20101","20151"
"MAN 651 Strategic Management I","14","20101","20152"
"MAN 652 Strategic Management II","8","20111","20152"
"MAN 654 Corporate Restructuring","4","20151","20201"
"MAN 655  Corporate Strategy: Managing Business Groups","8","20131","20222"
"MAN 656 Mergers & Acquisitions","9","20131","20222"
"MAN 657 Global Strategic Management","27","20122","20222"
"MAN 660 CSR Video Documentaries","6","20151","20202"
"MAN 661 Startery University - Social Entrepreneurship Seminar","2","20162","20192"
"MAN 663 Digital Social Innovation Lab with SocEnt BW and SAP","3","20172","20202"
"MAN 664 Sustainability Games","1","20192","20212"
"MAN 667 Social Impact Measurement","1","20192","20212"
"MAN 672 Nonprofit Management","10","20111","20161"
"MAN 676 Ausgewählte Herausforderungen im Public Management","1","20182","20211"
"MAN 677 International Business Strategy","1","20121","20151"
"MAN 678 Strategy of Technological Oriented New Ventures","3","20121","20161"
"MAN 679 Eine wissenschaftliche Einführung in das Public und Nonprofit Management","4","20171","20202"
"MAN 685 Purpose & Strategic Corporate Social Responsibility","2","20202","20222"
"MAN 690 Innovation Management","62","20151","20222"
"MAN 691 Selected Topics in Organizational Behavior","11","20161","20222"
"MAN 693 Strategic Intellectual Property Management","3","20181","20221"
"MAN 770 Research seminar on Small and Medium Sized Companies and Entrepreneurship","1","20112","20141"
"Management","2","20102","20132"
"Marketing","5","20102","20142"
"Mindmapping","4","20102","20151"
"MKT 351 Marketing Management Decisions","6","20102","20152"
"MKT 352 Social Media Marketing","1","20121","20161"
"MKT 401 Marketing II","4","20102","20151"
"MKT 510 Price and Product Management","155","20102","20222"
"MKT 511 Marketing Analytics","69","20182","20222"
"MKT 520 Market Research","90","20102","20222"
"MKT 531 Marketing Theory","55","20102","20222"
"MKT 531 Marketing Theory: Consumer Behavior and Decision Making","60","20102","20222"
"MKT 532 Kommunikationsmanagement","8","20102","20142"
"MKT 540 Marketing Strategy","21","20101","20162"
"MKT 545 Customers, Markets and Firm Strategy","133","20112","20222"
"MKT 560 Services Marketing","27","20112","20222"
"MKT 570 Marketing of Innovations","2","20211","20222"
"MKT 580 Digital Marketing Strategy","21","20152","20222"
"MKT 611 Sales Management and Customer Relationship Management","33","20112","20211"
"MKT 612 Business-to-Business-Marketing","64","20112","20222"
"MKT 613 Verhandlungsführung","11","20192","20222"
"MKT 614 Marketing Communication","43","20112","20222"
"MKT 615 Sales Management","1","20202","20222"
"MKT 621 Global Marketing","22","20121","20201"
"MKT 622 Country Manager","24","20111","20211"
"MKT 623 Strategic Marketing Management Simulation","2","20192","20222"
"MKT 632 Value-Based Marketing","32","20111","20222"
"MKT 650 Marktorientierte Unternehmensführung","12","20111","20171"
"MKT 661 Consumer Behavior","45","20111","20222"
"MKT 662 Interactive Marketing","100","20112","20222"
"MKT 663 Branding and Brand Management","63","20121","20222"
"MKT 664 Brand Strategy Seminar","6","20192","20222"
"Mnemonik und Gedächtnistraining","9","20101","20132"
"MS 600 Kodierungstheorie","1","20112","20132"
"OPM 301 Operations Management","1","20102","20121"
"OPM 350 Production and Operations Management","2","20102","20132"
"OPM 501 Logistics Management","109","20102","20222"
"OPM 502 Inventory Management","71","20101","20222"
"OPM 502 Supply Chain Analytics: Inventory Management","71","20101","20222"
"OPM 503 Transportation I - Land Transport and Shipping","10","20112","20222"
"OPM 504 Transportation II: Air Transport","14","20112","20222"
"OPM 504 Transportation Management: Aviation","14","20112","20222"
"OPM 510 Sustainable Operations","1","20202","20222"
"OPM 540 Quantitative Methods in Operations Management","2","20102","20121"
"OPM 541 Produktionsmanagement","4","20102","20131"
"OPM 542 System Dynamics: Systemdenken und Systemsimulation","2","20102","20131"
"OPM 543 Procurement","4","20102","20141"
"OPM 544 Advanced Supply Chain Planning","9","20102","20222"
"OPM 545 Cases on Current Issues in Supply Chain Management","1","20171","20201"
"OPM 546 Innovation Management & Operations","2","20132","20201"
"OPM 561 Production Management: Lean Approaches and Variability","69","20112","20222"
"OPM 565 Integrierte Produktentwicklung","8","20112","20202"
"OPM 581 Service Operations Management","112","20112","20222"
"OPM 582 Case Studies in Service Operations Management","4","20151","20212"
"OPM 583 Decision-making with Limited Information","1","20131","20161"
"OPM 591 Strategic Procurement","2","20152","20211"
"OPM 599 Procurement Governance and Compliance","1","20131","20161"
"OPM 601 Supply Chain Management","34","20102","20222"
"OPM 661 Business Analytics: Robust Planning in Stochastic Systems","13","20112","20222"
"OPM 662 Business Analytics: Modeling and Optimization","8","20112","20222"
"OPM 682 Revenue Management","13","20122","20222"
"OPM 692 Strategic Sourcing","1","20122","20152"
"OPM 701 Research Seminar Supply Chain Management","1","20122","20151"
"Produktion","4","20102","20142"
"Project Management","3","20101","20142"
"Psychologie der Interaktion und Kommunikation","8","20101","20131"
"Rhetorik kompakt","1","20102","20122"
"Selbsterkenntnis und Selbstoptimierung","2","20102","20122"
"Selbstmanagement","3","20102","20132"
"Seminar","122","20101","20171"
"SM 441 Seminar","1","20112","20141"
"Social Skills: Business Etikette International Dos and Don´ts","2","20102","20132"
"Speedreading","1","20102","20132"
"SQ 500 Scientific Research","1069","20101","20222"
"TAX 350 International Taxation","5","20102","20152"
"TAX 510 Grundlagen der Besteuerung","5","20102","20202"
"TAX 520 Besteuerung der Unternehmen","4","20102","20221"
"TAX 521 Fallstudien zur Besteuerung der Unternehmen","3","20201","20221"
"TAX 530 Taxation of Businesses and Individuals","10","20102","20222"
"TAX 650 European Business Taxation","1","20121","20151"
"TAX 660 Tax Planning: The Role of Taxes for Business Decisions","1","20192","20222"
"Teamprojekt","1","20141","20161"
"Teamwork in the global context","5","20101","20131"
"Team² - durch Methoden für Kreativität und Innovation die Team-Effektivität steigern","1","20101","20122"
"TP 500 Team Project","1083","20101","20222"
"Ü Projektmanagement","7","20102","20132"
"Ü Teamfähigkeit? Konfliktfähigkeit?... Soziale Kompetenzen erwerben und weiterentwickeln","1","20111","20131"
"Unternehmensplanspiel","6","20101","20132"
"Verhandlungsseminar","1","20102","20132"
